Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice
HCLTECH,EQ,1-Jan-16,855.1,855.1,855.1,843.5,845.6,845.85
HCLTECH,EQ,4-Jan-16,845.85,841,854.95,837.45,846.95,845.95
HCLTECH,EQ,5-Jan-16,845.95,848.95,851.05,836.4,844,842.8
HCLTECH,EQ,6-Jan-16,842.8,853.7,853.7,837,841,841.4
HCLTECH,EQ,7-Jan-16,841.4,836.1,837.9,819,825.5,825.05
HCLTECH,EQ,8-Jan-16,825.05,828,836.75,813.8,831.05,828.35
HCLTECH,EQ,11-Jan-16,828.35,815,833,811.1,815,814.55
HCLTECH,EQ,12-Jan-16,814.55,818,819,798.05,809.65,810.05
HCLTECH,EQ,13-Jan-16,810.05,814.8,829.85,804.3,829,826.4
HCLTECH,EQ,14-Jan-16,826.4,810.05,841.8,810.05,830.05,828.85
HCLTECH,EQ,15-Jan-16,828.85,828.5,842,816,840.1,838.05
HCLTECH,EQ,18-Jan-16,838.05,831.1,853.95,831.1,848,842.35
HCLTECH,EQ,19-Jan-16,842.35,867,870,800,840,838.25
HCLTECH,EQ,20-Jan-16,838.25,831.05,846,823,839,841.9
HCLTECH,EQ,21-Jan-16,841.9,844,850.15,831.25,832.35,835.25
HCLTECH,EQ,22-Jan-16,835.25,838,850.95,831.9,841,839.25
HCLTECH,EQ,25-Jan-16,839.25,847.5,858.9,836.85,839.4,838.7
HCLTECH,EQ,27-Jan-16,838.7,838,840.9,830.2,839,836
HCLTECH,EQ,28-Jan-16,836,833,849.8,829.7,844.15,844.5
HCLTECH,EQ,29-Jan-16,844.5,845.25,870,842.3,866.4,865.75
HCLTECH,EQ,1-Feb-16,865.75,865.8,889.9,865.8,876.7,880.3
HCLTECH,EQ,2-Feb-16,880.3,880,885,867.05,871,872.65
HCLTECH,EQ,3-Feb-16,872.65,866.35,870,848.85,854.05,852.1
HCLTECH,EQ,4-Feb-16,852.1,855.1,874.8,848.95,866.8,867.35
HCLTECH,EQ,5-Feb-16,867.35,877,877,858.35,868.5,869.65
HCLTECH,EQ,8-Feb-16,869.65,866.1,868.95,846,851,849.75
HCLTECH,EQ,9-Feb-16,849.75,843,844,805.95,815,810.45
HCLTECH,EQ,10-Feb-16,810.45,815.5,833,807.6,831.9,827.4
HCLTECH,EQ,11-Feb-16,827.4,827.4,827.4,801.6,806.75,808
HCLTECH,EQ,12-Feb-16,808,814,825.85,784.95,799.5,798.25
HCLTECH,EQ,15-Feb-16,798.25,813,832.5,810.35,825.5,827.1
HCLTECH,EQ,16-Feb-16,827.1,825.1,837.9,819.25,826.7,824.3
HCLTECH,EQ,17-Feb-16,824.3,829.95,835,816.35,826,824.8
HCLTECH,EQ,18-Feb-16,824.8,829.05,847,827.35,842,843.95
HCLTECH,EQ,19-Feb-16,843.95,842,857,828.4,842.5,851.55
HCLTECH,EQ,22-Feb-16,851.55,849.8,849.8,840.1,845.5,845.95
HCLTECH,EQ,23-Feb-16,845.95,845,849,827,828.05,828.95
HCLTECH,EQ,24-Feb-16,828.95,829.6,839,809,811.55,811.05
HCLTECH,EQ,25-Feb-16,811.05,807,815,799.7,813.9,808.75
HCLTECH,EQ,26-Feb-16,808.75,814.35,832,814,826,824.65
HCLTECH,EQ,29-Feb-16,824.65,822,831.65,795,816,813.25
HCLTECH,EQ,1-Mar-16,813.25,813.9,841.4,809,828,832.15
HCLTECH,EQ,2-Mar-16,832.15,837,865,829.35,850.25,854.85
HCLTECH,EQ,3-Mar-16,854.85,865,866.35,851.6,857,859.3
HCLTECH,EQ,4-Mar-16,859.3,860.2,861.1,830.35,838,835.4
HCLTECH,EQ,8-Mar-16,835.4,828,831.95,809.45,812.75,815.25
HCLTECH,EQ,9-Mar-16,815.25,813.95,818,801.35,816,815.65
HCLTECH,EQ,10-Mar-16,815.65,821.8,822.9,806.4,816.1,817.85
HCLTECH,EQ,11-Mar-16,817.85,817,825,812.5,824,823.05
HCLTECH,EQ,14-Mar-16,823.05,823.85,830.4,822,824.5,827.9
HCLTECH,EQ,15-Mar-16,827.9,826,826.95,810.5,811,811.85
HCLTECH,EQ,16-Mar-16,811.85,813.45,816.5,807.5,815.4,814.9
HCLTECH,EQ,17-Mar-16,814.9,820,829,810.55,811.05,815.3
HCLTECH,EQ,18-Mar-16,815.3,816,828.8,815,823,824.15
HCLTECH,EQ,21-Mar-16,824.15,828,828,815.2,824.9,822.55
HCLTECH,EQ,22-Mar-16,822.55,820.75,831,817,827.85,828.45
HCLTECH,EQ,23-Mar-16,828.45,828,830,813.4,817,817.7
HCLTECH,EQ,28-Mar-16,817.7,819.9,826.5,806.45,810.65,810.65
HCLTECH,EQ,29-Mar-16,810.65,814.6,816.2,799.9,807,806.8
HCLTECH,EQ,30-Mar-16,806.8,805.45,822,805.45,821,820.6
HCLTECH,EQ,31-Mar-16,820.6,815,824.5,809.9,813.4,814.1
HCLTECH,EQ,1-Apr-16,814.1,820,824,807,822.5,820.4
HCLTECH,EQ,4-Apr-16,820.4,815,841.95,815,840,839.85
HCLTECH,EQ,5-Apr-16,839.85,839.85,848.9,832.55,841.6,843.25
HCLTECH,EQ,6-Apr-16,843.25,847,847.95,826.1,840.15,838.75
HCLTECH,EQ,7-Apr-16,838.75,846.9,846.9,827,828.1,828.45
HCLTECH,EQ,8-Apr-16,828.45,831.85,836,825.6,834.55,833.1
HCLTECH,EQ,11-Apr-16,833.1,836.45,841.95,824.4,837.45,839.3
HCLTECH,EQ,12-Apr-16,839.3,843,845,831.25,839,839.65
HCLTECH,EQ,13-Apr-16,839.65,844.95,846.5,835.15,836,837.55
HCLTECH,EQ,18-Apr-16,837.55,845.05,860.65,845,852.9,853.3
HCLTECH,EQ,20-Apr-16,853.3,862.5,862.5,835.5,841.9,841.2
HCLTECH,EQ,21-Apr-16,841.2,844,855.35,838.5,846,846.25
HCLTECH,EQ,22-Apr-16,846.25,838.35,852.9,838.35,846,845.15
HCLTECH,EQ,25-Apr-16,845.15,841.25,850,841.25,847.35,845.1
HCLTECH,EQ,26-Apr-16,845.1,839.05,855.4,833.15,850.95,849.8
HCLTECH,EQ,27-Apr-16,849.8,849.5,855.9,831.05,834.85,837.55
HCLTECH,EQ,28-Apr-16,837.55,805,823,796.65,799.3,799.9
HCLTECH,EQ,29-Apr-16,799.9,794,794,747.2,750.25,750.3
HCLTECH,EQ,2-May-16,750.3,750,756.3,740.1,742.5,742.2
HCLTECH,EQ,3-May-16,742.2,747,747.55,726.05,728.1,728.4
HCLTECH,EQ,4-May-16,728.4,727,740.5,726.25,735,737.1
HCLTECH,EQ,5-May-16,737.1,736.8,739.8,725.5,731,732.9
HCLTECH,EQ,6-May-16,732.9,732.95,732.95,721,721.05,722.6
HCLTECH,EQ,9-May-16,722.6,724,733,718.25,719.2,721.4
HCLTECH,EQ,10-May-16,721.4,723.5,724.2,716.1,717.55,718.8
HCLTECH,EQ,11-May-16,718.8,711,716.8,706.4,707.8,708.75
HCLTECH,EQ,12-May-16,708.75,711,718.9,709.5,714.05,714.7
HCLTECH,EQ,13-May-16,714.7,718,727,713,721.5,723.15
HCLTECH,EQ,16-May-16,723.15,725.55,725.6,716.15,718,718.95
HCLTECH,EQ,17-May-16,718.95,720,739,720,731.5,732.3
HCLTECH,EQ,18-May-16,732.3,732,744.6,727,741,742.25
HCLTECH,EQ,19-May-16,742.25,738,744,727.5,728.1,730.1
HCLTECH,EQ,20-May-16,730.1,729,740,729,736.75,736.65
HCLTECH,EQ,23-May-16,736.65,738.35,739.85,732,732.25,733.55
HCLTECH,EQ,24-May-16,733.55,735,741.45,730.05,739.6,739.25
HCLTECH,EQ,25-May-16,739.25,742,750.4,740.15,748.5,749.35
HCLTECH,EQ,26-May-16,749.35,751.05,752,736.65,741.75,740.9
HCLTECH,EQ,27-May-16,740.9,742.6,759.7,742.6,756,757.6
HCLTECH,EQ,30-May-16,757.6,761.1,763.7,745.2,748,747.55
HCLTECH,EQ,31-May-16,747.55,748,753.35,736.35,739.1,739.8
HCLTECH,EQ,1-Jun-16,739.8,744,744.35,731.7,735.8,734.55
HCLTECH,EQ,2-Jun-16,734.55,735,739.6,715.5,721.5,721.35
HCLTECH,EQ,3-Jun-16,721.35,725.3,726.45,720.7,722,721.9
HCLTECH,EQ,6-Jun-16,721.9,722,728.7,715.6,725.25,724.6
HCLTECH,EQ,7-Jun-16,724.6,728,731.45,721.6,727.5,726.7
HCLTECH,EQ,8-Jun-16,726.7,729,745,728.35,744.4,743.5
HCLTECH,EQ,9-Jun-16,743.5,748.7,755.9,744,751.1,753.05
HCLTECH,EQ,10-Jun-16,753.05,750,758,745.95,750,751.05
HCLTECH,EQ,13-Jun-16,751.05,745,756,741.7,754,753.65
HCLTECH,EQ,14-Jun-16,753.65,755,764.95,744.05,750.1,752.4
HCLTECH,EQ,15-Jun-16,752.4,751,757.3,749.95,755.2,755.2
