,price
352,78500
45,44000
476,61500
307,68100
385,78900
306,67000
460,47600
487,44100
28,44500
404,80000
386,83900
43,92000
415,90000
162,25000
186,44700
366,114000
300,55000
420,68000
279,52000
524,113000
49,54800
285,65000
497,62900
316,80000
269,59000
33,51500
388,85000
340,70000
98,35000
230,80000
351,68500
262,48500
47,43000
414,52000
543,103000
21,65900
531,120000
139,43000
438,65000
433,73000
127,122500
410,90000
464,49500
131,44500
345,49000
510,70000
282,90000
228,68000
141,40000
342,80000
153,42000
459,47000
261,46200
423,62900
122,37000
9,88500
297,50000
203,55500
509,64000
405,86000
390,86900
101,79000
277,65500
117,94500
59,30000
312,70000
224,87250
281,74500
508,87000
189,57250
436,132000
512,62600
319,83000
500,67900
244,32500
125,95000
150,59900
463,49000
62,52000
258,33500
248,44500
242,70000
6,66000
444,72500
18,45000
191,52500
157,60000
236,43000
461,49000
359,107000
435,75000
0,42000
60,48000
164,52900
108,73000
318,83000
355,75000
309,72000
138,26500
451,69000
412,112000
538,84000
432,69000
96,53900
492,53000
440,51900
55,25000
505,71900
68,47000
469,56000
3,60500
283,45000
10,90000
401,76000
48,48000
381,112500
336,106000
42,82000
115,85000
26,43500
327,110000
184,28000
443,79500
88,35000
293,47000
295,49000
539,85000
129,127000
12,27000
484,62900
152,37000
79,63900
329,120000
241,52000
76,45000
328,115442
89,44000
124,70000
174,50000
350,64500
250,48500
429,58550
24,42000
161,130000
313,75000
182,58000
424,65500
119,116000
517,96500
58,35500
168,46000
81,35000
513,66000
226,56000
363,72000
221,58000
292,45000
407,87500
334,60000
302,58500
83,43000
92,163000
376,140000
46,41000
185,54000
227,48000
299,53000
322,93000
15,37900
231,87000
535,82000
278,57000
515,53000
39,54500
425,66000
427,50000
238,26000
137,35000
25,42300
344,88000
450,67000
61,48000
507,75000
11,30500
240,34000
17,40750
441,57000
67,67000
343,80000
209,92500
112,92000
394,72000
213,52000
106,48000
4,61000
488,47000
102,125000
370,82000
311,69900
253,60000
354,86900
263,48900
251,52000
93,128000
159,63000
365,99000
1,38500
37,67000
331,175000
166,73500
375,133000
2,49500
95,39000
23,38000
259,41000
453,73500
284,45000
211,42000
133,50500
382,140000
486,42900
333,55000
142,51000
475,85000
523,110000
229,79000
403,80000
246,38000
493,54000
85,57000
249,45000
154,48000
181,50000
335,61000
74,35000
296,50000
545,105000
537,83000
128,123500
452,73000
20,48500
421,80000
379,97000
445,104900
291,39000
97,59900
373,122000
30,45000
290,38000
252,53900
69,70000
87,78000
353,86000
114,75000
419,94700
498,64000
430,64500
196,40000
167,38000
104,58000
320,83900
485,118500
542,94000
77,47000
192,42000
54,38000
19,45000
529,108000
178,74500
257,75500
255,64500
215,41000
479,89000
193,57500
130,35000
256,71000
100,57000
171,32000
506,75000
439,69000
518,101000
143,51000
416,100000
395,74500
202,50000
200,53000
315,78000
148,80000
268,54000
121,80000
136,46000
541,91500
514,58900
57,56000
378,84000
194,33000
270,60000
454,74900
63,54000
393,106000
70,45000
426,49500
502,70000
271,63000
472,50000
266,52500
434,75000
536,82500
169,48000
36,61700
243,27000
82,50000
260,41000
348,60000
372,100500
314,76900
22,37900
337,155000
308,70000
528,107500
239,30000
220,46000
13,36000
448,58000
160,63900
72,32500
177,69900
276,70000
367,120000
35,61000
326,101000
207,69500
225,70800
120,61500
216,138300
29,44900
347,59500
188,50000
522,108000
325,99000
180,60000
406,87000
233,32500
468,55000
465,52000
165,62000
126,117000
533,71000
264,50000
64,56000
490,50000
214,62000
511,47500
384,78000
338,141000
489,50000
175,57500
398,82900
481,95000
172,38000
332,50000
32,49000
31,48000
232,25000
235,42500
374,126500
397,80750
408,89000
187,47000
173,46000
418,174500
389,86000
520,103000
303,59500
38,82000
265,51000
287,62000
474,93000
14,37000
94,123500
16,40500
391,94500
341,73000
217,42000
289,34000
413,31900
540,85000
78,55000
91,58000
387,85000
183,63900
449,67000
380,103500
323,98000
491,53000
267,52500
190,67000
158,62000
109,63500
364,84900
356,78000
135,90000
245,37200
274,65000
147,62000
105,43000
294,47500
324,98500
110,43000
5,66000
144,57250
103,132000
210,40500
446,114900
41,70000
362,175000
377,190000
254,61000
146,61000
86,60000
431,65000
65,60000
205,60000
44,38000
27,44000
80,50000
437,60000
113,75000
204,56000
519,102000
411,95000
8,83800
73,34000
400,92500
118,106500
206,60000
