points,variety,winery,price
96,Cabernet Sauvignon,Heitz,235.0
96,Tinta de Toro,Bodega Carmen Rodríguez,110.0
96,Sauvignon Blanc,Macauley,90.0
96,Pinot Noir,Ponzi,65.0
95,Provence red blend,Domaine de la Bégude,66.0
95,Tinta de Toro,Numanthia,73.0
95,Tinta de Toro,Maurodos,65.0
95,Tinta de Toro,Bodega Carmen Rodríguez,110.0
95,Pinot Noir,Bergström,65.0
95,Pinot Noir,Blue Farm,60.0
95,Friulano,Borgo del Tiglio,80.0
95,Pinot Noir,Patricia Green Cellars,48.0
95,Pinot Noir,Patricia Green Cellars,48.0
95,Tannat,Vignobles Brumont,90.0
95,Pinot Noir,Domaine Serene,185.0
95,Chardonnay,Bergström,90.0
95,Cabernet Sauvignon,Hall,325.0
95,Tempranillo,Valduero,80.0
95,Malbec,Château Lagrézette,290.0
95,Pinot Noir,Gary Farrell,75.0
95,Rosé,Heitz,24.0
95,Tempranillo Blend,Muga,79.0
95,Tinta de Toro,Numanthia,220.0
95,Chardonnay,Center of Effort,60.0
95,Pinot Noir,Comartin,45.0
94,Chardonnay,Kumeu River,57.0
94,Pinot Noir,Bergström,62.0
94,Pinot Noir,Ponzi,105.0
94,Pinot Noir,Roar,60.0
94,Syrah,Saviah,60.0
90,Mavrud,Villa Melnik,15.0
90,Chardonnay,Zepaltas,37.0
90,Sangiovese,Abbadia Ardenga,
90,Sparkling Blend,Bouvet-Ladubay,22.0
90,Chardonnay,Buty,42.0
90,Sangiovese,Carillon,135.0
90,Rhône-style White Blend,Clos de L'Oratoire des Papes,60.0
90,Sangiovese,Avignonesi,29.0
90,Sangiovese,Casina di Cornia,23.0
90,Red Blend,Castello di Monterinaldi,29.0
90,Mencía,Don Bernardino,17.0
90,Palomino,González Byass,26.0
90,Petite Sirah,Huston,55.0
90,Red Blend,Rignana,39.0
90,Syrah,Tardieu-Laurent,69.0
90,Red Blend,Vignavecchia,30.0
90,Sangiovese,Banfi,90.0
90,Cabernet Sauvignon,Brandlin,60.0
90,Sangiovese,Brunelli Martoccia,50.0
90,Cabernet Sauvignon,Canvasback,40.0
90,Sangiovese,Capanne Ricci,100.0
90,Chardonnay,Chartron et Trébuchet,68.0
90,Sauvignon Blanc,Cherrier Frères,42.0
90,Pinot Noir,Clement et Florian Berthier,28.0
90,Chardonnay,De Loach,18.0
90,Cabernet Sauvignon,DeLille,69.0
90,Sauvignon Blanc,Domaine Vacheron,
90,Riesling,Dr. Konstantin Frank,25.0
90,Cabernet Sauvignon-Syrah,Efeste,30.0
90,Red Blend,Fattoria di Magliano,60.0
91,Malbec,Matias Riccitelli,30.0
91,Pinot Noir,Moorooduc,36.0
91,Malbec,Navarro Correas,25.0
91,Chardonnay,Domaine Chenevières,45.0
91,Portuguese Red,Herdade do Rocim,23.0
91,Syrah,Jason-Stephens,36.0
91,Chardonnay,Louis Max,38.0
91,Cabernet Sauvignon,Michael Mondavi Family Estate,85.0
91,Pinot Noir,Panther Creek,50.0
91,Cabernet Sauvignon,Provenance Vineyards,60.0
91,Cabernet Sauvignon,Raymond,85.0
91,Pinot Noir,Red Car,45.0
91,Nebbiolo,Silvano Bolmida,
91,Pinot Gris,Trinity Vineyards,19.0
91,Portuguese Red,Adega Cooperativa de Borba,15.0
91,Pinot Noir,Archery Summit,54.0
91,Chardonnay,Aubry,85.0
91,Sauvignon Blanc,B Cellars,38.0
91,Cabernet Sauvignon,B Side,28.0
91,Nebbiolo,Bel Colle,75.0
91,Pinot Noir,Bethel Heights,42.0
91,Cabernet Sauvignon,Binyamina,25.0
91,Nebbiolo,Ceste,
91,Nebbiolo,Cascina Cucco,59.0
91,Nebbiolo,Cascina del Monastero,85.0
91,Nebbiolo,Cordero di Montezemolo,80.0
91,Chardonnay,Domaine Gérard Duplessis,45.0
91,Cabernet Sauvignon,Eagle Glen,22.0
91,Pinot Noir,Eleven Eleven,65.0
91,Meritage,Franciscan,50.0
86,Cabernet Sauvignon,Belle Ambiance,10.0
86,Baga,Adega de Cantanhede,12.0
86,Glera,De Stefani,22.0
86,Chardonnay,Parducci,13.0
86,Portuguese Red,Quinta do Portal,10.0
86,Malbec-Merlot,Rigal,14.0
86,Chardonnay,The Naked Grape,18.0
86,Cabernet Sauvignon,Tin Barn,36.0
86,Merlot-Malbec,Georges Vigouroux,15.0
86,Ugni Blanc-Colombard,Georges Vigouroux,10.0
86,Viognier,Hawk Watch Winery,24.0
86,Cabernet Sauvignon,Hestan,50.0
86,Sangiovese,Il Grappolo,45.0
86,Cabernet Sauvignon-Cabernet Franc,Ehret,48.0
86,Moscato,EOS,20.0
86,Pinot Grigio,Martinez & Martinez,17.0
86,Cabernet Franc,Ironstone,12.0
86,Chardonnay,Leaping Horse,10.0
86,White Blend,Kitchen Sink,13.0
86,Chardonnay,Kuleto Estate,45.0
86,Portuguese Red,Wines & Winemakers,12.0
86,Rosé,Zorzal,12.0
86,Cabernet Sauvignon,Charles Krug,125.0
86,Riesling,Millbrook,25.0
86,Sauvignon Blanc,Waterkloof,20.0
